Teams,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,LA Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
Atlanta Hawks,0,927.4128506799575,724.3680169118688,246.09704714155893,229.21722593444423,197.5983934741528,857.6938917004248,1422.5556416900574,112.82930977097222,2624.1135690542656,757.1990991929928,126.09901359248396,2340.2551742297733,2340.2551742297733,390.65944109929967,299.41874592372585,246.23045169465337,610.8197316545717,392.790092935795,723.1491552587925,906.3224698415859,212.65464105951887,640.8792594620711,1912.145619755192,2637.1391499994174,2562.4038562151045,969.4853184159293,358.5487343113517,1898.0616129168122,512.3040784587861
Boston Celtics,927.4128506799575,0,204.218630976422,684.8124131502958,1147.7914048227092,734.3014333491386,1774.1351862067197,2344.7919358718564,828.6498704453232,3543.4034186887725,1671.909703130731,1043.1939608633945,3252.8205278932514,3252.8205278932514,1311.93675712916,685.5058798779143,1164.5650561469702,1534.6642605479794,1313.9752248275738,205.26904649914906,1824.9890076750348,743.6525296308383,288.17367074223023,2824.5435798736708,3564.1890126939625,3482.9927729485403,1881.020207761094,575.0556314111666,2821.4164044789127,416.77263127113304
Brooklyn Nets,724.3680169118688,204.218630976422,0,480.8583644116985,946.5984526943809,533.0768737748995,1574.634818791252,2144.1133629778233,627.773102867361,3344.0015277575026,1472.6495933023164,841.6701614812216,3055.3617551373063,3055.3617551373063,1110.7207828422947,483.664867040679,963.4664122337316,1333.1076759700106,1112.7809942028123,1.838680181990709,1625.013410344176,539.6053974003813,83.96776703816928,2626.920128480445,3361.500385010938,3283.1449548152755,1682.7660481107087,376.2658099051954,2620.4733147154,212.7139858868693
Charlotte Hornets,246.09704714155893,684.8124131502958,480.8583644116985,0,473.6988266597685,88.07711649900871,1103.2508042829609,1668.6393203773303,167.61177436599922,2870.2080176080267,1002.3633512153165,368.7482522869674,2585.9265237788777,2585.9265237788777,636.4322264183845,116.45058951908612,490.7470333797411,856.9127702982656,638.5505006455061,479.72583656679006,1152.1905230660363,80.62655302498737,396.97197248642533,2157.7017745326207,2881.7668179875373,2808.4949633767624,1214.3589243815347,141.7343373386611,2144.0376166937863,268.1497356463022
Chicago Bulls,229.21722593444423,1147.7914048227092,946.5984526943809,473.6988266597685,0,413.60442110743156,629.7346398128649,1197.5321117333804,319.14284702444996,2398.0674165473306,528.6709951451755,105.20895006593899,2112.381418199377,2112.381418199377,164.15593000901373,525.5192370371132,17.05057050559227,386.9438478195602,166.20395153161317,945.2880884978127,679.169581953734,440.5061371618889,863.9385170041456,1684.0877697977864,2417.4474054376074,2336.8584913990844,740.6961672189376,573.232988621955,1673.889019360563,736.3360111952215
Cleveland Cavaliers,197.5983934741528,734.3014333491386,533.0768737748995,88.07711649900871,413.60442110743156,0,1041.8410941684288,1611.0539900116794,94.7788519333605,2811.060777308273,940.0329755139467,308.89258087596716,2523.5323414830186,2523.5323414830186,577.7576311048176,199.0933504139615,430.4382392198717,800.3800280051989,579.8080607445422,531.7521524737248,1092.018620886131,133.14664553423594,450.72578704382994,2095.07450751276,2830.1859606052158,2750.103102928289,1150.8128211292324,161.36367652537393,2087.48168630024,324.0924613771238
Dallas Mavericks,857.6938917004248,1774.1351862067197,1574.634818791252,1103.2508042829609,629.7346398128649,1041.8410941684288,0,572.630843147614,947.0637914854275,1769.408567663197,102.47371948629663,734.9148771042591,1482.68024596524,1482.68024596524,467.06676194671485,1146.4945229068414,612.7092232721084,253.78595699885108,464.9289226685522,1573.2754545908379,53.85492861676522,1065.1332804156825,1492.5605821308159,1054.4698272992619,1800.7644844166907,1708.858493945468,116.53155138349751,1199.202035200647,1049.1630048496545,1365.5461493390662
Denver Nuggets,1422.5556416900574,2344.7919358718564,2144.1133629778233,1668.6393203773303,1197.5321117333804,1611.0539900116794,572.630843147614,0,1516.4244608511494,1201.9256072461174,675.0734122633675,1302.5607548833768,926.5777807056363,926.5777807056363,1033.4605636074346,1702.624218094732,1180.6502092870237,811.7465348233573,1031.3898645625995,2142.7965610884085,520.5550218140082,1624.9197622461286,2061.4520947928077,506.62364512392406,1229.3741493666432,1139.872134787928,474.7557480002906,1769.7555003696068,476.79193465500373,1933.6463795919854
Detroit Pistons,112.82930977097222,828.6498704453232,627.773102867361,167.61177436599922,319.14284702444996,94.7788519333605,947.0637914854275,1516.4244608511494,0,2716.303533012944,845.2563115547786,214.80243804760636,2428.7943944106337,2428.7943944106337,483.2872758270057,257.0845646868225,335.91943135991454,706.0530172958861,485.32691271444696,626.4394209750839,997.2696379927285,172.43329312734284,545.4992250807237,2000.3398850635651,2736.261219935736,2655.377296920716,1056.0891825042509,254.35601138991336,1992.9121670180393,418.77838187286176
Golden State Warriors,2624.1135690542656,3543.4034186887725,3344.0015277575026,2870.2080176080267,2398.0674165473306,2811.060777308273,1769.408567663197,1201.9256072461174,2716.303533012944,0,1871.5320038185316,2503.242608735157,312.8181562414697,312.8181562414697,2234.280713879381,2904.049147414994,2381.110663673661,2013.344870068116,2232.187555999736,3342.6488502392285,1719.0495076890381,2826.801058427256,3261.769290909939,725.3323792408149,288.9146130913339,68.15390223272347,1662.8733054802706,2968.581188395579,730.4729901726516,3134.398050355491
